firm,cik,phone,leads,title,money_raised
"Palos Surgicenter, LLC",0001890916,708-361-3233,"[{'name': 'Muhamad Amine, MD', 'role': 'Executive Officer', 'cik': '0001890916'}, {'name': 'Amanda Nunkovich', 'role': 'Executive Officer', 'cik': '0001890916'}, {'name': 'Christopher Farley, MD', 'role': 'Director', 'cik': '0001890916'}, {'name': 'William Kosmala, MD', 'role': 'Director', 'cik': '0001890916'}, {'name': 'Narayan Ponakala, MD', 'role': 'Director', 'cik': '0001890916'}, {'name': 'Doug Lashley', 'role': 'Director', 'cik': '0001890916'}]",Director,78956
"Quadrant Private Capital Solutions Platform, LP",0001894716,513-871-5500,"[{'name': 'David Snopkowski', 'role': 'Executive Officer', 'cik': '0001894716'}]",Executive Officer,49750000
Terra Rossa Gold Ltd.,0001923943,6045510766,"[{'name': 'Patrick Downey', 'role': 'Executive Officer', 'cik': '0001923943'}, {'name': 'Michele Jones', 'role': 'Director', 'cik': '0001923943'}, {'name': 'Anthony George', 'role': 'Director', 'cik': '0001923943'}, {'name': 'Michael Halvorson', 'role': 'Director', 'cik': '0001923943'}, {'name': 'Margot Naudie', 'role': 'Director', 'cik': '0001923943'}, {'name': 'Latika Prasad', 'role': 'Executive Officer', 'cik': '0001923943'}]",Executive Officer,336205
"BHC HC Co-Invest III, LLC",0001937045,8042123400,"[{'name': 'N/A BLUE HERON CAPITAL PARTNERS III GP, LLC', 'role': 'Executive Officer', 'cik': '0001937045'}, {'name': 'ANDREW TICHENOR', 'role': 'Director', 'cik': '0001937045'}, {'name': 'THOMAS BENEDETTI', 'role': 'Director', 'cik': '0001937045'}, {'name': 'N/A BLUE HERON CAPITAL MANAGEMENT, LLC', 'role': 'Promoter', 'cik': '0001937045'}]",Promoter,870000
Myriad Uranium Corp.,0001979836,6044182877,"[{'name': 'Thomas Lamb', 'role': 'Executive Officer', 'cik': '0001979836'}, {'name': 'Marvin Singer', 'role': 'Director', 'cik': '0001979836'}, {'name': 'Nelson Lamb', 'role': 'Executive Officer', 'cik': '0001979836'}, {'name': 'Simon Clarke', 'role': 'Director', 'cik': '0001979836'}, {'name': 'Fred Bonner', 'role': 'Director', 'cik': '0001979836'}, {'name': 'Tom Lee', 'role': 'Director', 'cik': '0001979836'}]",Director,20600
"Service Provider Capital Pacific Northwest Fund I, LP",0002025983,3035213771,"[{'name': 'N/A SERVICE PROVIDER CAPITAL PACIFIC NORTHWEST FUND I GP, LLC', 'role': 'Executive Officer', 'cik': '0002025983'}, {'name': 'JOSEPH SHEPHERD', 'role': 'Director', 'cik': '0002025983'}]",Director,0
"Barrel Reserve Technologies, Inc.",0002037428,4157227393,"[{'name': 'Gordon Holterman', 'role': 'Executive Officer', 'cik': '0002037428'}, {'name': 'Brian Zucker', 'role': 'Executive Officer', 'cik': '0002037428'}, {'name': 'Gayle Dragan', 'role': 'Executive Officer', 'cik': '0002037428'}, {'name': 'Stephen Davis', 'role': 'Director', 'cik': '0002037428'}, {'name': 'Barton Foster', 'role': 'Director', 'cik': '0002037428'}, {'name': 'Jason Marwedel', 'role': 'Director', 'cik': '0002037428'}, {'name': 'Satish Dharmaraj', 'role': 'Director', 'cik': '0002037428'}]",Director,2144500
Prince Silver Corp.,0002045300,(604) 764-9065,"[{'name': 'Ralph Shearing', 'role': 'Executive Officer', 'cik': '0002045300'}, {'name': 'Robert Scott', 'role': 'Executive Officer', 'cik': '0002045300'}, {'name': 'Robert Wrixon', 'role': 'Director', 'cik': '0002045300'}, {'name': 'Neil MacRae', 'role': 'Director', 'cik': '0002045300'}, {'name': 'Darrell Rader', 'role': 'Director', 'cik': '0002045300'}]",Director,139726
"Accolade Partners Blockchain IV, L.P.",0002055562,202-775-5595,"[{'name': 'JOELLE KAYDEN', 'role': 'Executive Officer', 'cik': '0002055562'}, {'name': 'ATUL RUSTGI', 'role': 'Executive Officer', 'cik': '0002055562'}, {'name': 'ANDREW SALEMBIER', 'role': 'Executive Officer', 'cik': '0002055562'}, {'name': 'ARAM VERDIYAN', 'role': 'Executive Officer', 'cik': '0002055562'}, {'name': 'MARCOS VEREMIS', 'role': 'Executive Officer', 'cik': '0002055562'}, {'name': 'CAITLIN MULLIGAN', 'role': 'Executive Officer', 'cik': '0002055562'}, {'name': 'PATRICK ABRAHAMSEN', 'role': 'Executive Officer', 'cik': '0002055562'}, {'name': 'MEERA PATEL', 'role': 'Executive Officer', 'cik': '0002055562'}, {'name': 'ZACHARY SIDDIQUE', 'role': 'Executive Officer', 'cik': '0002055562'}]",Executive Officer,0
"Accolade Partners Blockchain IV, L.P.",0002055562,202-775-5595,"[{'name': 'JOELLE KAYDEN', 'role': 'Executive Officer', 'cik': '0002055562'}, {'name': 'ATUL RUSTGI', 'role': 'Executive Officer', 'cik': '0002055562'}, {'name': 'ANDREW SALEMBIER', 'role': 'Executive Officer', 'cik': '0002055562'}, {'name': 'ARAM VERDIYAN', 'role': 'Executive Officer', 'cik': '0002055562'}, {'name': 'MARCOS VEREMIS', 'role': 'Executive Officer', 'cik': '0002055562'}, {'name': 'CAITLIN MULLIGAN', 'role': 'Executive Officer', 'cik': '0002055562'}, {'name': 'PATRICK ABRAHAMSEN', 'role': 'Executive Officer', 'cik': '0002055562'}, {'name': 'MEERA PATEL', 'role': 'Executive Officer', 'cik': '0002055562'}, {'name': 'ZACHARY SIDDIQUE', 'role': 'Executive Officer', 'cik': '0002055562'}]",Executive Officer,0
"KRISHNA RIVER FUND, LP",0002062163,(585) 662-9216,"[{'name': 'Khageshwar Guntupalli', 'role': 'Executive Officer', 'cik': '0002062163'}, {'name': 'N/A Krishna River Partners, LLC', 'role': 'Promoter', 'cik': '0002062163'}, {'name': 'N/A Krishna River Capital, LLC', 'role': 'Promoter', 'cik': '0002062163'}]",Promoter,0
EquityZen Growth Technology Fund LLC - Series 2113,0002062314,8774906121,"[{'name': 'LLC EquityZen Advisors', 'role': 'Executive Officer', 'cik': '0002062314'}, {'name': 'Phil Haslett', 'role': 'Executive Officer', 'cik': '0002062314'}]",Executive Officer,150024
EquityZen Growth Technology Fund LLC - Series 2109,0002062699,1-877-490-6121,"[{'name': 'LLC EquityZen Advisors', 'role': 'Executive Officer', 'cik': '0002062699'}, {'name': 'Phil Haslett', 'role': 'Executive Officer', 'cik': '0002062699'}]",Executive Officer,900560
Bloom Anduril I a Series of Bloom Opportunities Fund I LLC,0002065111,(360) 946-0604,"[{'name': 'LLC Sydecar', 'role': 'Director', 'cik': '0002065111'}, {'name': 'Brett Sagan', 'role': 'Executive Officer', 'cik': '0002065111'}]",Executive Officer,9808833
"Vector Defense, Inc.",0002067621,719-487-5951,"[{'name': 'Andrew Yakulis', 'role': 'Executive Officer', 'cik': '0002067621'}, {'name': 'Larsen Jensen', 'role': 'Director', 'cik': '0002067621'}, {'name': 'Ben Lambert', 'role': 'Director', 'cik': '0002067621'}, {'name': 'George Matus', 'role': 'Director', 'cik': '0002067621'}]",Director,12999994
"Vector Defense, Inc.",0002067621,719-487-5951,"[{'name': 'Andrew Yakulis', 'role': 'Executive Officer', 'cik': '0002067621'}, {'name': 'Ben Lambert', 'role': 'Director', 'cik': '0002067621'}, {'name': 'Larson Jensen', 'role': 'Director', 'cik': '0002067621'}, {'name': 'George Matus', 'role': 'Director', 'cik': '0002067621'}]",Director,48118374
"Apptronik VIII, a series of Tyrell Ventures Funds, LP",0002069953,(360) 340-9337,"[{'name': 'N/A Tyrell LLC', 'role': 'Director', 'cik': '0002069953'}, {'name': 'Andrew Kang', 'role': 'Executive Officer', 'cik': '0002069953'}]",Executive Officer,12165500
"Project Jupiter Co-Invest Fund, L.P.",0002075191,(312) 254-3300,"[{'name': 'CARL THOMA', 'role': 'Executive Officer', 'cik': '0002075191'}, {'name': 'LEE MITCHELL', 'role': 'Executive Officer', 'cik': '0002075191'}, {'name': 'ORLANDO BRAVO', 'role': 'Executive Officer', 'cik': '0002075191'}, {'name': 'SAMUEL CRABILL', 'role': 'Executive Officer', 'cik': '0002075191'}, {'name': 'P. SPAHT', 'role': 'Executive Officer', 'cik': '0002075191'}, {'name': 'SETH BORO', 'role': 'Executive Officer', 'cik': '0002075191'}]",Executive Officer,0
EquityZen Growth Technology Fund LLC - Series 2143,0002076673,8774906121,"[{'name': 'LLC EquityZen Advisors', 'role': 'Executive Officer', 'cik': '0002076673'}, {'name': 'Phil Haslett', 'role': 'Executive Officer', 'cik': '0002076673'}]",Executive Officer,750024
"LAM5 SPV, a series of Riverside Ventures Self-Advised, LP",0002077762,(360) 340-9337,"[{'name': 'N/A Riverside Ventures Self-Advised, L', 'role': 'Director', 'cik': '0002077762'}, {'name': 'Alexander Pattis', 'role': 'Executive Officer', 'cik': '0002077762'}]",Executive Officer,523500
RD Real Estate Opportunity Fund I LP,0002078001,(617) 606-3413,"[{'name': 'Mikhail Gurevich', 'role': 'Executive Officer', 'cik': '0002078001'}, {'name': 'Gennadiy Gurevich', 'role': 'Executive Officer', 'cik': '0002078001'}, {'name': 'Sean Kelly-Rand', 'role': 'Executive Officer', 'cik': '0002078001'}, {'name': 'Thierry Valat de Cordova', 'role': 'Executive Officer', 'cik': '0002078001'}, {'name': 'Joseph Yankovich', 'role': 'Executive Officer', 'cik': '0002078001'}, {'name': 'N/A RD REAL ESTATE OPPORTUNITY FUND I GP LLC', 'role': 'Executive Officer', 'cik': '0002078001'}, {'name': 'N/A RD ADVISORS LLC', 'role': 'Executive Officer', 'cik': '0002078001'}, {'name': 'N/A EAGLE CLAW CORP.', 'role': 'Executive Officer', 'cik': '0002078001'}, {'name': 'N/A RD BOSTON HOLDINGS LLC', 'role': 'Executive Officer', 'cik': '0002078001'}, {'name': 'N/A DC RD SPV LLC', 'role': 'Executive Officer', 'cik': '0002078001'}]",Executive Officer,0
"Bluehenge Capital SBIC III, L.P.",0002078536,225-615-3348,"[{'name': 'N/A Bluehenge Capital SBIC III GP, LLC', 'role': 'Executive Officer', 'cik': '0002078536'}, {'name': 'Ari Kocen', 'role': 'Executive Officer', 'cik': '0002078536'}, {'name': 'Nemesio Viso', 'role': 'Executive Officer', 'cik': '0002078536'}, {'name': 'Albert Alexander', 'role': 'Executive Officer', 'cik': '0002078536'}]",Executive Officer,0
"Unio Concentrated Equity Fund, LLC",0002078763,212-920-2000,"[{'name': '- Draycott, LLC', 'role': 'Promoter', 'cik': '0002078763'}, {'name': 'John Allison', 'role': 'Executive Officer', 'cik': '0002078763'}]",Executive Officer,80001000
Macquarie Global Infrastructure Fund (USD Feeder) SCSp,0002079021,352 24 61 93 43,"[{'name': 'N/A MGIF Luxembourg GP S.a.r.l.', 'role': 'Executive Officer', 'cik': '0002079021'}, {'name': 'N/A Macquarie Asset Management Europe S.a r.l.', 'role': 'Promoter', 'cik': '0002079021'}]",Promoter,251000000
"BizBridge Capital, LLC",0002079086,857-417-3234,"[{'name': 'Adegoke Falaiye', 'role': 'Executive Officer', 'cik': '0002079086'}, {'name': 'Sunkanmi Famoto', 'role': 'Director', 'cik': '0002079086'}]",Director,327000
EquityZen Growth Technology Fund LLC - Series 2152,0002079787,8774906121,"[{'name': 'LLC EquityZen Advisors', 'role': 'Executive Officer', 'cik': '0002079787'}, {'name': 'Phil Haslett', 'role': 'Executive Officer', 'cik': '0002079787'}]",Executive Officer,192000
EquityZen Growth Technology Fund LLC - Series 2150,0002079789,8774906121,"[{'name': 'LLC EquityZen Advisors', 'role': 'Executive Officer', 'cik': '0002079789'}, {'name': 'Phil Haslett', 'role': 'Executive Officer', 'cik': '0002079789'}]",Executive Officer,1079991
XFX Holdings Ltd,0002080058,525585641927,"[{'name': 'Mario Gutierrez', 'role': 'Director', 'cik': '0002080058'}, {'name': 'Alberto Tello', 'role': 'Director', 'cik': '0002080058'}]",Director,9129960
Anduril II a Series of Bloom Opportunities Fund I LLC,0002080522,(360) 946-0604,"[{'name': 'LLC Sydecar', 'role': 'Director', 'cik': '0002080522'}, {'name': 'Brett Sagan', 'role': 'Executive Officer', 'cik': '0002080522'}]",Executive Officer,5367704
"Pemi Holdings, LLC",0002082113,978-987-7320,"[{'name': 'Nicholas Aalerud', 'role': 'Executive Officer', 'cik': '0002082113'}]",Executive Officer,950000
"RI-0704 Fund I, a series of DataPower Ventures AL, LP",0002082376,2068016359,"[{'name': 'N/A DataPower Ventures Advisors, LLC', 'role': 'Director', 'cik': '0002082376'}, {'name': 'David Yakobovitch', 'role': 'Executive Officer', 'cik': '0002082376'}]",Executive Officer,392325
Honor & Fire LLC,0002082741,(940) 236-3060,"[{'name': 'Joshua Latimer', 'role': 'Executive Officer', 'cik': '0002082741'}]",Executive Officer,100000
StabledHorses Capital Fund LP,0002083289,604-612-3105,"[{'name': 'N/A StabledHorses Capital Management LLC', 'role': 'Executive Officer', 'cik': '0002083289'}, {'name': 'James Bogart', 'role': 'Executive Officer', 'cik': '0002083289'}, {'name': 'Anton Alkevich', 'role': 'Executive Officer', 'cik': '0002083289'}, {'name': ""Alessandro D'Apolito"", 'role': 'Executive Officer', 'cik': '0002083289'}]",Executive Officer,0
"EnCap Energy Capital Fund VIII MergeCo, L.P.",0002083454,(713) 659-6100,"[{'name': 'N/A ENCAP EQUITY CONTINUATION FUND VIII GP, L.P.', 'role': 'Promoter', 'cik': '0002083454'}, {'name': 'N/A ENCAP INVESTMENTS L.P.', 'role': 'Promoter', 'cik': '0002083454'}, {'name': 'JASON DELORENZO', 'role': 'Executive Officer', 'cik': '0002083454'}, {'name': 'DAVID MILLER', 'role': 'Executive Officer', 'cik': '0002083454'}, {'name': 'GARY PETERSEN', 'role': 'Executive Officer', 'cik': '0002083454'}, {'name': 'D. PHILLIPS', 'role': 'Executive Officer', 'cik': '0002083454'}, {'name': 'DOUGLAS SWANSON JR.', 'role': 'Executive Officer', 'cik': '0002083454'}, {'name': 'ROBERT ZORICH', 'role': 'Executive Officer', 'cik': '0002083454'}]",Executive Officer,0
"EnCap Energy Capital Fund VIII Co-Investors MergeCo, L.P.",0002083460,(713) 659-6100,"[{'name': 'N/A ENCAP EQUITY CONTINUATION FUND VIII GP, L.P.', 'role': 'Promoter', 'cik': '0002083460'}, {'name': 'N/A ENCAP INVESTMENTS L.P.', 'role': 'Promoter', 'cik': '0002083460'}, {'name': 'JASON DELORENZO', 'role': 'Executive Officer', 'cik': '0002083460'}, {'name': 'DAVID MILLER', 'role': 'Executive Officer', 'cik': '0002083460'}, {'name': 'GARY PETERSEN', 'role': 'Executive Officer', 'cik': '0002083460'}, {'name': 'D. PHILLIPS', 'role': 'Executive Officer', 'cik': '0002083460'}, {'name': 'DOUGLAS SWANSON JR.', 'role': 'Executive Officer', 'cik': '0002083460'}, {'name': 'ROBERT ZORICH', 'role': 'Executive Officer', 'cik': '0002083460'}]",Executive Officer,0
Petershill Millennium Investors LLC,0002083467,(212) 902-1000,"[{'name': 'Jody Flaws', 'role': 'Executive Officer', 'cik': '0002083467'}, {'name': 'Scott Huff', 'role': 'Executive Officer', 'cik': '0002083467'}, {'name': 'Richard Ruffer', 'role': 'Executive Officer', 'cik': '0002083467'}]",Executive Officer,0
Petershill Millennium Investors Offshore LP,0002083492,(212) 902-1000,"[{'name': 'Richard Ruffer', 'role': 'Executive Officer', 'cik': '0002083492'}, {'name': 'Scott Huff', 'role': 'Executive Officer', 'cik': '0002083492'}, {'name': 'Jody Flaws', 'role': 'Executive Officer', 'cik': '0002083492'}]",Executive Officer,0
Petershill Millennium Investors Offshore B LP,0002083807,(212) 902-1000,"[{'name': 'Richard Ruffer', 'role': 'Executive Officer', 'cik': '0002083807'}, {'name': 'Scott Huff', 'role': 'Executive Officer', 'cik': '0002083807'}, {'name': 'Jody Flaws', 'role': 'Executive Officer', 'cik': '0002083807'}]",Executive Officer,0
Petershill Millennium Investors C LLC,0002083846,(212) 902-1000,"[{'name': 'Jody Flaws', 'role': 'Executive Officer', 'cik': '0002083846'}, {'name': 'Scott Huff', 'role': 'Executive Officer', 'cik': '0002083846'}, {'name': 'Richard Ruffer', 'role': 'Executive Officer', 'cik': '0002083846'}]",Executive Officer,0
Petershill Millennium Investors B LLC,0002083902,(212) 902-1000,"[{'name': 'Jody Flaws', 'role': 'Executive Officer', 'cik': '0002083902'}, {'name': 'Scott Huff', 'role': 'Executive Officer', 'cik': '0002083902'}, {'name': 'Richard Ruffer', 'role': 'Executive Officer', 'cik': '0002083902'}]",Executive Officer,0
"TF Growth I, a series of TF Capital, LP",0002084110,2068016359,"[{'name': 'N/A TF Capital Management Limited', 'role': 'Director', 'cik': '0002084110'}, {'name': 'Abhishek Malik', 'role': 'Executive Officer', 'cik': '0002084110'}]",Executive Officer,494000
"Yayati, Inc.",0002084494,949-996-3200,"[{'name': 'Jerry Chafkin', 'role': 'Executive Officer', 'cik': '0002084494'}, {'name': 'Milan Patel', 'role': 'Executive Officer', 'cik': '0002084494'}, {'name': 'Rajeev Sharan', 'role': 'Executive Officer', 'cik': '0002084494'}, {'name': 'Vivek Pai', 'role': 'Executive Officer', 'cik': '0002084494'}]",Executive Officer,372700
"Yayati, Inc.",0002084494,949-996-3200,"[{'name': 'Jerry Chafkin', 'role': 'Executive Officer', 'cik': '0002084494'}, {'name': 'Milan Patel', 'role': 'Executive Officer', 'cik': '0002084494'}, {'name': 'Rajeev Sharan', 'role': 'Executive Officer', 'cik': '0002084494'}, {'name': 'Vivek Pai', 'role': 'Executive Officer', 'cik': '0002084494'}]",Executive Officer,610000
"Yayati, Inc.",0002084494,949-996-3200,"[{'name': 'Jerry Chafkin', 'role': 'Executive Officer', 'cik': '0002084494'}, {'name': 'Milan Patel', 'role': 'Executive Officer', 'cik': '0002084494'}, {'name': 'Rajeev Sharan', 'role': 'Executive Officer', 'cik': '0002084494'}, {'name': 'Vivek Pai', 'role': 'Executive Officer', 'cik': '0002084494'}]",Executive Officer,295000
"Yayati, Inc.",0002084494,949-996-3200,"[{'name': 'Jerry Chafkin', 'role': 'Executive Officer', 'cik': '0002084494'}, {'name': 'Milan Patel', 'role': 'Executive Officer', 'cik': '0002084494'}, {'name': 'Rajeev Sharan', 'role': 'Executive Officer', 'cik': '0002084494'}, {'name': 'Vivek Pai', 'role': 'Executive Officer', 'cik': '0002084494'}]",Executive Officer,1500000
Petershill Millennium Investors Offshore C LP,0002084618,(212) 902-1000,"[{'name': 'Richard Ruffer', 'role': 'Executive Officer', 'cik': '0002084618'}, {'name': 'Scott Huff', 'role': 'Executive Officer', 'cik': '0002084618'}, {'name': 'Jody Flaws', 'role': 'Executive Officer', 'cik': '0002084618'}]",Executive Officer,0
Delta Seal Technology LLC,0002084810,(281) 549-0090,"[{'name': 'Aaron Retford', 'role': 'Executive Officer', 'cik': '0002084810'}]",Executive Officer,1680000
"Salta Nona 1818, LLC",0002085058,205-506-0745,"[{'name': 'Scott Goldberg', 'role': 'Director', 'cik': '0002085058'}, {'name': 'Wyman Hamilton', 'role': 'Director', 'cik': '0002085058'}, {'name': 'Layne Held', 'role': 'Director', 'cik': '0002085058'}, {'name': 'William Orgel', 'role': 'Director', 'cik': '0002085058'}]",Director,1050000
Passco Vero Beach DST,0002085124,9494421000,"[{'name': 'Larry Sullivan', 'role': 'Executive Officer', 'cik': '0002085124'}, {'name': 'William Passo', 'role': 'Executive Officer', 'cik': '0002085124'}, {'name': 'Belden Brown', 'role': 'Executive Officer', 'cik': '0002085124'}, {'name': 'Thomas Jahncke', 'role': 'Executive Officer', 'cik': '0002085124'}, {'name': '[none] Passco Companies, LLC', 'role': 'Promoter', 'cik': '0002085124'}, {'name': '[none] Passco Vero Beach Depositor, LLC', 'role': 'Promoter', 'cik': '0002085124'}, {'name': '[none] Passco Vero Beach Manager, LLC', 'role': 'Promoter', 'cik': '0002085124'}]",Promoter,4205606
"VEEF III Co-Invest 3-A, L.P.",0002085297,(415) 765-6500,"[{'name': 'Robert Smith', 'role': 'Executive Officer', 'cik': '0002085297'}, {'name': 'N/A VEEF III Co-Invest 3 GP, LLC', 'role': 'Promoter', 'cik': '0002085297'}, {'name': 'Lauren Dillard', 'role': 'Executive Officer', 'cik': '0002085297'}, {'name': 'N/A VEEF III Co-Invest 3-A GP, L.P.', 'role': 'Promoter', 'cik': '0002085297'}, {'name': 'David Breach', 'role': 'Executive Officer', 'cik': '0002085297'}, {'name': 'Gwen Reinke', 'role': 'Executive Officer', 'cik': '0002085297'}]",Executive Officer,0
"DaisyChain Capital Fund I, LLC",0002085521,(917) 402-9244,"[{'name': 'a Delaware limited liability company DaisyChain Capital, LLC', 'role': 'Executive Officer', 'cik': '0002085521'}, {'name': 'Amit Singh', 'role': 'Executive Officer', 'cik': '0002085521'}, {'name': 'Xavier Barrios', 'role': 'Executive Officer', 'cik': '0002085521'}, {'name': 'Mcgowan Southworth', 'role': 'Executive Officer', 'cik': '0002085521'}, {'name': 'Dan Robinson', 'role': 'Executive Officer', 'cik': '0002085521'}, {'name': 'Alex Blumberg', 'role': 'Executive Officer', 'cik': '0002085521'}]",Executive Officer,650000
RMF2 Edgewater Co-Invest LP,0002085583,(208) 271-7281,"[{'name': 'CASEY LYNCH', 'role': 'Executive Officer', 'cik': '0002085583'}, {'name': 'KATIE VILA', 'role': 'Executive Officer', 'cik': '0002085583'}, {'name': 'DAVID BUCK', 'role': 'Executive Officer', 'cik': '0002085583'}]",Executive Officer,0
"GE-0828 Fund I, a series of Multimodal Ventures, LP",0002085613,206.801.6359,"[{'name': 'N/A Fund GP, LLC', 'role': 'Director', 'cik': '0002085613'}, {'name': 'N/A Belltower Fund Group, Ltd.', 'role': 'Director', 'cik': '0002085613'}]",Director,176550
Island Green HAI LP,0002085675,682-208-6034,"[{'name': 'N/A Island Green Capital GP LLC', 'role': 'Executive Officer', 'cik': '0002085675'}, {'name': 'Ateet Ahluwalia', 'role': 'Executive Officer', 'cik': '0002085675'}]",Executive Officer,2810000
"NE-0825 Fund I, a series of Riverside Ventures, LP",0002085937,206.801.6359,"[{'name': 'N/A Fund GP, LLC', 'role': 'Director', 'cik': '0002085937'}, {'name': 'N/A Belltower Fund Group, Ltd.', 'role': 'Director', 'cik': '0002085937'}]",Director,209999
NLC Health Investors DST,0002085986,603-686-8276,"[{'name': 'Douglas Blough', 'role': 'Executive Officer', 'cik': '0002085986'}, {'name': 'Bruce MacDonald', 'role': 'Executive Officer', 'cik': '0002085986'}]",Executive Officer,0
"Ara Infra C-Fiber Co-Investment, LP",0002086361,713-337-9150,"[{'name': '- Ara Infrastructure Fund I GP, LP', 'role': 'Promoter', 'cik': '0002086361'}, {'name': 'Troy Thacker', 'role': 'Executive Officer', 'cik': '0002086361'}, {'name': 'Charles Cherington', 'role': 'Executive Officer', 'cik': '0002086361'}]",Executive Officer,0
